"Pillar","Product","Module","Feature","Feature Owner","Release","Status NFS","Status WN","Feature Category","Tags ( AI / Redwood/AI Agent)","FDR Id","FDR Url","DCFR Ranking","OUPM Name","Prod Mngr Name","CDL Name","OMBP Mapping","Training Required? ","Reason why NF content cannot be built?","Implementation Feature? [Y/N] ","Qualifies for Certification question","Maps to Base Exam ( Provide base exam name)","Map to Delta Exam ( Provide Delta exam name)","List the Courses Impacted","Implementation Learning Path","CDL Assessment Complete?","Recording Date","Feature Classification","Combined Feature Video Name","CDL Daily Status Update","Type of Issue","Details of the Issue faced ","Response Received","Issue Resolution Outcome","Generate PPT (Exit From Grid View)","PPT Link","Recording","Video Ready for Pick-up","Video Ready Date","Review Status","Send Fixes Email To CDL","Video Review Fixes","PP Required?","QA Required?","PP Notes","Ready for PP","PP Dispatch Date","Post Production Resource","Post Production Start Date","Video ID","PP Complete","Post Production End Date","QA Dispatch Date","QA Resource","QA Date","QA Observations","QA Fixes Notification","QA Fixes?","QA Fixes Complete","QA Result ( Pass/ Fixes)","QA Complete","Setup Dispatch Date","Existing Setup Data","Setup Date","Awaiting Setup Data","MyLearn Link to Video","Container ID","Component ID","Transcript ID","Setup Status","OUPM Final Sign-off","LP Name","LP Description","Course Name","Course Description","Course Benefits","Course Keywords","Course Filters To Be Associated","Module Name","Final Overall Status","Target Release Date","Target Release Tier","Actual Release Date","Actual Release Tier","Feature GCC"
"HCM","Absence Management","Absence Management","Absence Types Redwood Experience",,"11.13.26.07.0","Ready","Published","Setup Required",,,,"NA","Anitha","Niki","Nigel","Absence Policy to Compliance","Yes","N/A","Yes","No","N/A","N/A","Oracle Fusion Cloud HCM: Absence Management","Become a Certified Absence Management Implementer","Yes","7/6/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Nigel/26CHCM0107-AbsenceTypesRedwoodExperience.pptx?web=1&action=edit",,,"7/6/2026 6:23 AM","Approved",,,"Only Video ID Required","No",,,"7/7/2026 12:16 AM","Vidyashree","7/7/2026 4:30 PM","6400434306112",,"07/07/2026 11:08:49",,"Joseph",,,,,,,,"7/7/2026 4:08 AM",,"7/8/2026 12:00 AM",,"https://mylearn.oracle.com/ou/course/whats-new-in-absence-management/109058/274970","109058","274970","15218525",,,,,,,,,,,"Released (A)",,,"7/8/2026 2:23 PM",,"26CHCM0107"
"HCM","Human Resources","Global Human Resources","Accessibility Improvements for Redwood Document Records Pages",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,,"Anitha","Niki","Rohit",,"No","Small Scale , nothing of significance to demo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0108"
"HCM","Human Resources","Global Human Resources","Activate Journey Tasks Based on Specified Days Before Transaction Effective Date",,"11.13.26.07.0","Ready","Published","Setup Required","Redwood",,,"NA","Anitha","Niki","Deb","Employee Onboarding to Retirement
","Yes",,"No","Yes","1Z0-1046-26: Oracle Global Human Resources Cloud 2026 Implementation Professional","1D0-1046-26-D Oracle Global Human Resources Cloud  Implementation Professional","S11004301GC1026A - Oracle Fusion Cloud HCM: Journeys","Become a Certified Global Human Resources (Core HR) Implementer","Yes","7/15/2026","Single NF","N/A","Recorded & Uploaded For Review",,,,,,"https://oracle.sharepoint.com/teams/OUCloudAppsCurriculumProductManagementAutomation/Content%20Files/26C%20NF/HCM/Deb/26CHCM0109-ActivateJourneyTasksBasedonSpecifiedDaysBeforeTransactionEffectiveDate.pptx?web=1&action=edit",,,"7/15/2026 4:37 PM","Approved",,,"Only Video ID Required","No",,,"7/16/2026 9:44 AM","Vidyashree","7/17/2026 12:00 PM","6401367961112",,"07/17/2026 06:40:38",,,,,,,,,,"7/16/2026 11:40 PM",,,,,,,,,,,,,,,,,,"In Setup (A)",,,,,"26CHCM0109"
"HCM","Recruiting","Recruiting","Activity Centers: Automatically Launch AI Agents from Activities",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"High","Anitha","Niki","Sarah","Attract Talent to Onboard Workers","TBD","Depends on availability of feature in demo","Yes","No",,,,,"WIP",,"Combined Primary NF","Activity Center Automation Updates","Seeding Data / Analyzing Demo","Configuration","Unable to make the agent run based on any seeded agents available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0110"
"HCM","Recruiting","Recruiting","Activity Centers: Initiate Sourcing Efforts Using AI Agent",,"11.13.26.07.0","Ready","Published","Setup Required","AI - Agent,Redwood",,,"High","Anitha","Niki","Sarah","Attract Talent to Onboard Workers","TBD","Depends on availability of feature in demo","Yes","No",,,,,"WIP",,"Combined Bundled NF","Activity Center Automation Updates","Seeding Data / Analyzing Demo","Configuration","Can't find the Recruiting Sourcing Activity Center Agent Template in the demo environment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0111"
"HCM","Recruiting","Transactional Business Intelligence for Recruiting","Add Country Code and Area Code in Reports",,"11.13.26.07.0","Ready","Published","Ready to use, small scale",,,,"NA","Anitha","Niki","Sarah",,"No","Don't usually include OTBI features","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0112"
"HCM","Opportunity Marketplace","Opportunity Marketplace","Add Development Goals for Employees’ Favorite Career Roles",,"11.13.26.07.0","Ready","Published","Ready to use, small scale","Redwood",,,"Medium","Anitha","Niki","Sarah",,"Yes",,"No","No",,,,,"Yes",,,,"Seeding Data / Analyzing Demo","Data","Manager's worker (doesn't) must have favorite career role with competencies and quals set up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0113"
"HCM","Recruiting","Transactional Business Intelligence for Recruiting","Add New Attachment Fields in Reports",,"11.13.26.07.0","Ready","Published","Ready to use, small scale",,,,"NA","Anitha","Niki","Sarah",,"No","Don't usually include OTBI features","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0114"
"HCM","Recruiting","Transactional Business Intelligence for Recruiting","Add Pool Status in Candidate Pool Reports",,"11.13.26.07.0","Ready","Published","Ready to use, small scale",,,,"NA","Anitha","Niki","Sarah",,"No","Don't usually include OTBI features","No","No",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0115"
"HCM","Human Resources","Global Human Resources","Additional Assignment Attributes for Page Properties in Redwood Employment Processes",,"11.13.26.07.0","New","Published","Ready to use, small scale with prerequisite","Redwood",,,,"Anitha","Niki","Rohit",,"No","Small Scale , nothing to demo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26CHCM0116"
